crm_customer_id,ground_truth_id,portal_user_id,is_duplicate_record,duplicate_of_crm_customer_id,dq_missing_email,dq_missing_phone,dq_missing_address,dq_missing_postcode,dq_outdated_address,dq_email_case_variation,dq_abbreviated_first_name,dq_name_typo,dq_phone_format_variation,dq_postcode_format_variation
CRM000001,GT009431,USR000001,False,,False,True,False,False,False,False,False,False,False,False
CRM000002,GT003605,,False,,False,False,False,False,False,False,False,False,True,False
CRM000003,GT007847,,False,,False,False,False,False,False,True,False,False,False,False
CRM000004,GT005909,,False,,False,False,False,False,False,False,False,False,False,False
CRM000005,GT002958,,False,,False,False,False,False,False,False,False,False,False,False
CRM000006,GT009230,USR000002,False,,False,False,False,False,True,False,False,False,False,False
CRM000007,GT008697,,False,,False,False,False,False,False,False,False,False,False,False
CRM000008,GT003652,,False,,False,False,False,False,False,False,False,False,False,False
CRM000009,GT009732,USR000003,False,,False,False,False,False,False,False,False,False,True,False
CRM000010,GT002257,USR000004,False,,False,False,False,False,False,False,False,False,False,False
CRM000011,GT008057,USR000005,False,,False,False,False,False,False,False,False,False,True,False
CRM000012,GT006803,USR000006,False,,False,False,False,False,False,True,False,False,False,False
CRM000013,GT004714,USR000007,False,,False,True,False,True,False,False,False,False,False,False
CRM000014,GT000306,USR000008,False,,False,False,False,False,True,False,False,False,False,False
CRM000015,GT008949,USR000009,False,,False,False,False,False,False,False,False,False,False,False
CRM000016,GT005737,USR000010,False,,False,False,False,False,False,False,False,False,False,False
CRM000017,GT003913,USR000011,False,,False,False,False,False,False,False,False,False,False,False
CRM000018,GT003557,,False,,True,False,False,False,False,False,False,False,False,False
CRM000019,GT006510,,False,,False,False,False,False,False,False,False,False,False,False
CRM000020,GT003483,,False,,False,False,False,False,False,False,False,False,False,False
CRM000021,GT005083,USR000012,False,,False,False,False,False,False,False,False,False,False,False
CRM000022,GT003718,USR000013,False,,False,False,False,False,False,False,False,False,True,False
CRM000023,GT000553,,False,,False,False,False,False,False,False,False,False,True,True
CRM000024,GT002518,USR000014,False,,False,False,False,False,False,False,False,False,False,False
CRM000025,GT008411,USR000015,False,,False,False,True,False,False,False,False,False,False,False
CRM000026,GT008183,USR000016,False,,False,True,False,False,False,False,False,False,False,False
CRM000027,GT006668,USR000017,False,,False,False,False,False,False,False,False,False,True,False
CRM000028,GT004710,,False,,True,False,False,False,False,False,False,False,False,False
CRM000029,GT009699,USR000018,False,,False,False,False,False,False,False,False,False,False,False
CRM000030,GT008405,,False,,False,False,False,False,False,False,False,False,False,False
CRM000031,GT002464,USR000019,False,,False,False,False,False,False,False,False,False,False,False
CRM000032,GT005675,,False,,False,False,False,False,False,False,False,False,False,False
CRM000033,GT009557,USR000020,False,,False,False,False,False,False,False,False,False,False,False
CRM000034,GT007855,USR000021,False,,False,True,False,False,False,False,False,False,False,True
CRM000035,GT003702,USR000022,False,,False,False,False,False,False,False,False,False,False,False
CRM000036,GT004704,USR000023,False,,False,False,True,False,False,False,False,False,True,False
CRM000037,GT005183,,False,,False,False,False,False,False,False,False,False,False,False
CRM000038,GT009019,,False,,False,False,False,False,False,False,False,False,True,False
CRM000039,GT007139,,False,,False,False,False,False,False,False,False,False,False,False
CRM000040,GT003989,,False,,False,False,False,False,False,False,False,False,False,False
CRM000041,GT004625,USR000024,False,,False,False,False,False,False,False,False,False,False,False
CRM000042,GT000928,USR000025,False,,False,False,False,False,False,False,False,False,False,False
CRM000043,GT004926,USR000026,False,,False,True,False,False,True,False,False,False,False,False
CRM000044,GT002302,USR000027,False,,False,False,False,False,False,False,False,False,True,False
CRM000045,GT000936,USR000028,False,,False,False,False,False,False,False,False,False,False,False
CRM000046,GT000918,USR000029,False,,False,False,False,False,False,False,False,False,False,False
CRM000047,GT002169,USR000030,False,,False,False,False,False,False,False,False,False,False,False
CRM000048,GT006991,,False,,False,False,False,False,False,False,True,False,True,False
CRM000049,GT001798,USR000031,False,,False,False,False,False,False,False,False,False,False,False
CRM000050,GT005683,USR000032,False,,False,False,False,False,False,False,False,False,True,False
CRM000051,GT006023,,False,,False,False,False,False,False,False,False,False,False,False
CRM000052,GT009662,USR000033,False,,False,False,False,False,False,False,False,False,False,False
CRM000053,GT004589,USR000034,False,,False,False,False,False,False,False,False,False,False,False
CRM000054,GT007745,,False,,False,False,False,False,False,False,False,False,False,False
CRM000055,GT000346,,False,,False,False,False,False,False,False,False,False,True,True
CRM000056,GT006437,USR000035,False,,False,False,False,True,False,False,False,False,False,False
CRM000057,GT009805,,False,,False,False,False,False,False,False,False,False,False,False
CRM000058,GT000474,,False,,True,False,False,False,True,False,False,False,True,False
CRM000059,GT009080,,False,,False,True,False,False,False,False,False,False,False,False
CRM000060,GT001565,USR000036,False,,False,True,False,False,True,False,False,False,False,False
CRM000061,GT006748,USR000037,False,,False,False,False,False,False,False,False,False,False,False
CRM000062,GT000252,USR000038,False,,False,False,False,False,False,False,False,False,True,False
CRM000063,GT000616,USR000039,False,,False,False,False,False,False,False,False,False,False,False
CRM000064,GT001356,,False,,False,False,False,False,False,False,False,False,False,False
CRM000065,GT009013,USR000040,False,,False,False,False,False,False,True,False,False,False,False
CRM000066,GT007828,,False,,False,False,False,False,False,False,False,False,False,False
CRM000067,GT006611,,False,,False,False,False,False,False,True,False,False,False,False
CRM000068,GT006485,,False,,False,False,False,False,False,False,False,False,False,False
CRM000069,GT002953,USR000041,False,,False,True,False,False,False,True,False,False,False,False
CRM000070,GT005283,USR000042,False,,False,False,False,False,False,False,False,False,False,False
CRM000071,GT004823,USR000043,False,,False,False,False,False,False,False,False,False,False,False
CRM000072,GT009509,USR000044,False,,False,False,False,False,False,False,False,False,True,False
CRM000073,GT004550,,False,,False,False,False,False,True,False,False,False,False,False
CRM000074,GT007467,,False,,False,False,False,False,False,False,False,False,False,False
CRM000075,GT003597,USR000045,False,,False,False,False,False,False,False,False,False,False,False
CRM000076,GT009255,,False,,False,False,False,False,False,False,False,False,False,False
CRM000077,GT008524,USR000046,False,,False,False,False,False,False,False,False,False,False,False
CRM000078,GT009920,USR000047,False,,False,False,False,False,False,False,False,False,False,False
CRM000079,GT002282,,False,,False,False,False,False,False,False,False,False,False,True
CRM000080,GT008706,USR000048,False,,False,False,False,False,False,False,False,False,True,True
CRM000081,GT004774,,False,,False,False,False,False,False,False,False,False,False,False
CRM000082,GT005102,USR000049,False,,False,False,True,False,False,False,False,False,False,True
CRM000083,GT005422,USR000050,False,,False,False,False,False,False,False,False,False,False,False
CRM000084,GT000923,USR000051,False,,False,True,False,False,False,False,False,False,False,False
CRM000085,GT008813,USR000052,False,,False,True,False,False,False,False,False,False,False,False
CRM000086,GT006040,,False,,False,False,False,False,False,False,False,False,False,False
CRM000087,GT001059,,False,,False,False,False,False,False,False,False,True,False,False
CRM000088,GT007390,,False,,False,False,False,False,False,False,False,False,False,False
CRM000089,GT001140,,False,,False,False,False,False,False,False,False,False,False,False
CRM000090,GT003822,,False,,False,False,False,False,False,False,False,False,False,False
CRM000091,GT006690,,False,,False,False,False,False,False,False,False,False,True,False
CRM000092,GT004658,,False,,False,False,False,False,False,False,False,False,False,False
CRM000093,GT000651,USR000053,False,,False,False,False,False,False,False,False,False,False,False
CRM000094,GT006216,,False,,False,False,False,False,False,False,False,False,False,False
CRM000095,GT003676,,False,,False,False,False,False,False,False,False,False,True,False
CRM000096,GT003823,USR000054,False,,False,False,False,False,False,False,False,False,False,False
CRM000097,GT001634,USR000055,False,,True,False,False,False,False,False,False,False,False,False
CRM000098,GT001842,USR000056,False,,False,False,False,False,False,False,False,False,False,False
CRM000099,GT009932,,False,,False,False,False,False,False,False,False,False,True,False
CRM000100,GT005872,USR000057,False,,False,False,False,False,False,False,False,False,False,True
CRM000101,GT007809,USR000058,False,,False,False,False,False,False,False,False,False,True,False
CRM000102,GT003846,USR000059,False,,False,False,False,False,False,False,False,False,False,False
CRM000103,GT001548,,False,,False,False,False,False,False,False,False,False,False,False
CRM000104,GT006067,,False,,False,False,False,False,False,False,False,False,False,False
CRM000105,GT004057,,False,,False,False,False,False,False,False,False,False,False,False
CRM000106,GT004043,,False,,False,False,False,False,False,False,False,False,False,False
CRM000107,GT000883,,False,,True,False,False,False,False,False,False,False,True,False
CRM000108,GT004216,USR000060,False,,True,False,False,False,False,False,False,False,False,False
CRM000109,GT000521,,False,,False,False,False,False,False,False,False,False,False,False
CRM000110,GT009020,USR000061,False,,False,False,False,False,False,False,False,False,False,False
CRM000111,GT003757,USR000062,False,,False,False,False,False,False,False,False,False,True,False
CRM000112,GT007151,,False,,False,False,False,False,True,False,False,False,False,False
CRM000113,GT005881,USR000063,False,,False,False,False,False,False,False,False,True,False,False
CRM000114,GT004411,USR000064,False,,False,False,False,False,False,False,False,False,True,False
CRM000115,GT003396,USR000065,False,,False,False,False,False,False,False,False,False,False,False
CRM000116,GT000318,USR000066,False,,False,True,False,False,False,False,False,False,False,False
CRM000117,GT006537,,False,,False,False,False,False,False,False,False,False,False,False
CRM000118,GT001001,USR000067,False,,False,True,False,False,False,False,False,False,False,False
CRM000119,GT002361,USR000068,False,,False,False,False,False,False,False,False,False,True,False
CRM000120,GT009587,USR000069,False,,False,False,False,False,True,False,False,False,False,False
CRM000121,GT003767,USR000070,False,,False,False,False,False,False,False,False,False,False,False
CRM000122,GT003635,,False,,False,True,False,False,False,False,False,False,False,True
CRM000123,GT006897,USR000071,False,,False,False,False,False,False,False,False,False,False,False
CRM000124,GT002709,,False,,False,False,False,False,False,False,False,False,False,False
CRM000125,GT003690,,False,,False,False,False,False,False,False,True,False,False,False
CRM000126,GT003086,USR000072,False,,False,False,False,False,False,False,False,False,True,False
CRM000127,GT006952,USR000073,False,,False,False,False,False,False,False,False,False,False,False
CRM000128,GT000775,USR000074,False,,False,True,False,False,False,False,False,False,False,False
CRM000129,GT003819,,False,,False,False,False,False,False,False,False,False,True,False
CRM000130,GT009973,,False,,False,False,False,False,False,False,False,False,False,False
CRM000131,GT006402,USR000075,False,,False,False,False,False,False,False,False,False,True,False
CRM000132,GT004754,USR000076,False,,False,False,False,False,False,False,False,False,False,False
CRM000133,GT002907,USR000077,False,,False,False,False,False,False,False,False,False,False,False
CRM000134,GT000226,USR000078,False,,False,False,False,False,False,False,False,False,True,False
CRM000135,GT009098,USR000079,False,,False,False,False,True,False,False,False,False,True,False
CRM000136,GT009210,,False,,False,False,False,False,False,False,False,True,False,False
CRM000137,GT009787,,False,,False,False,False,False,False,False,False,False,False,False
CRM000138,GT004800,USR000080,False,,True,False,False,False,False,False,True,False,False,False
CRM000139,GT005929,USR000081,False,,False,False,False,False,False,False,False,False,False,False
CRM000140,GT002905,,False,,False,False,False,False,False,False,False,False,False,False
CRM000141,GT008287,USR000082,False,,False,False,False,False,False,False,False,False,False,False
CRM000142,GT005823,USR000083,False,,False,False,False,False,False,False,False,False,True,False
CRM000143,GT002980,USR000084,False,,False,False,False,False,False,False,False,False,False,False
CRM000144,GT002965,USR000085,False,,False,False,False,False,False,False,False,False,False,False
CRM000145,GT003573,USR000086,False,,False,False,False,False,False,False,False,False,False,False
CRM000146,GT006702,,False,,False,False,False,False,False,False,False,False,True,False
CRM000147,GT007695,USR000087,False,,False,False,False,False,False,False,False,False,True,False
CRM000148,GT001044,,False,,False,False,False,False,False,False,False,True,False,False
CRM000149,GT009288,,False,,False,False,False,False,False,False,False,False,True,False
CRM000150,GT007528,,False,,False,False,False,False,False,False,False,False,True,False
CRM000151,GT008050,USR000088,False,,False,False,False,False,False,False,False,False,True,True
CRM000152,GT001982,USR000089,False,,False,False,False,False,False,False,False,False,False,True
CRM000153,GT001435,USR000090,False,,False,True,True,False,False,False,False,False,False,False
CRM000154,GT007340,,False,,False,False,False,False,False,False,False,False,False,False
CRM000155,GT009386,USR000091,False,,False,False,False,False,False,False,False,False,False,False
CRM000156,GT003480,USR000092,False,,False,False,False,False,False,False,False,False,False,False
CRM000157,GT001006,,False,,False,False,False,False,False,False,False,False,False,False
CRM000158,GT003274,USR000093,False,,False,False,False,True,False,False,True,False,False,False
CRM000159,GT008381,,False,,False,False,False,False,False,False,False,False,False,True
CRM000160,GT008239,USR000094,False,,False,False,False,False,False,False,False,False,False,False
CRM000161,GT002357,USR000095,False,,False,False,False,False,False,False,False,False,False,False
CRM000162,GT001555,USR000096,False,,False,False,False,False,False,False,False,False,False,False
CRM000163,GT004961,,False,,False,False,False,False,False,False,False,False,False,True
CRM000164,GT003213,,False,,False,False,True,False,False,False,False,False,False,False
CRM000165,GT008508,USR000097,False,,False,False,False,False,False,False,False,False,True,False
CRM000166,GT004654,,False,,False,False,True,False,False,False,False,False,False,False
CRM000167,GT002280,USR000098,False,,False,False,False,False,False,False,False,False,False,True
CRM000168,GT004313,USR000099,False,,False,False,False,False,False,False,False,False,False,True
CRM000169,GT002237,,False,,False,False,False,False,False,False,False,False,False,True
CRM000170,GT007037,USR000100,False,,False,False,False,False,False,False,False,False,False,False
CRM000171,GT009721,USR000101,False,,False,False,False,False,False,False,False,False,False,True
CRM000172,GT006078,,False,,False,False,False,False,False,False,False,False,False,False
CRM000173,GT002390,,False,,False,False,False,False,False,False,False,False,False,False
CRM000174,GT008122,USR000102,False,,False,False,False,False,False,False,False,False,True,False
CRM000175,GT003659,USR000103,False,,False,False,False,False,False,False,False,False,False,False
CRM000176,GT000886,USR000104,False,,False,False,False,False,False,False,False,False,False,True
CRM000177,GT001543,,False,,False,False,False,False,False,False,False,False,True,False
CRM000178,GT008351,,False,,False,False,False,False,False,False,False,False,False,False
CRM000179,GT002278,,False,,True,False,False,False,False,False,False,False,False,False
